titulo,descripcion,prioridad,estado,alerta_relacionada_id,alerta_tipo,creada_por,creada_en,actualizada_en
Revisar panel solar bajo del 29/04/2026 14:00,"Alerta detectada: Panel solar bajo en horario diurno: 0.00 V.

Accion recomendada con prudencia: Revisar orientacion, suciedad, sombra o posible desconexion del panel.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",media,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar humedad baja en sensor del 29/04/2026 14:00,"Alerta detectada: Al menos un sensor registra humedad muy baja: 1.32%.

Accion recomendada con prudencia: Comprobar el sensor afectado y comparar con el resto de profundidades antes de tomar decisiones.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",alta,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar panel solar bajo del 29/04/2026 13:00,"Alerta detectada: Panel solar bajo en horario diurno: 0.00 V.

Accion recomendada con prudencia: Revisar orientacion, suciedad, sombra o posible desconexion del panel.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",media,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar humedad baja en sensor del 29/04/2026 13:00,"Alerta detectada: Al menos un sensor registra humedad muy baja: 1.33%.

Accion recomendada con prudencia: Comprobar el sensor afectado y comparar con el resto de profundidades antes de tomar decisiones.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",alta,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar panel solar bajo del 29/04/2026 12:00,"Alerta detectada: Panel solar bajo en horario diurno: 0.14 V.

Accion recomendada con prudencia: Revisar orientacion, suciedad, sombra o posible desconexion del panel.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",media,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar humedad baja en sensor del 29/04/2026 12:00,"Alerta detectada: Al menos un sensor registra humedad muy baja: 1.32%.

Accion recomendada con prudencia: Comprobar el sensor afectado y comparar con el resto de profundidades antes de tomar decisiones.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",alta,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar panel solar bajo del 29/04/2026 11:00,"Alerta detectada: Panel solar bajo en horario diurno: 0.23 V.

Accion recomendada con prudencia: Revisar orientacion, suciedad, sombra o posible desconexion del panel.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",media,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar humedad baja en sensor del 29/04/2026 11:00,"Alerta detectada: Al menos un sensor registra humedad muy baja: 1.31%.

Accion recomendada con prudencia: Comprobar el sensor afectado y comparar con el resto de profundidades antes de tomar decisiones.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",alta,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar panel solar bajo del 29/04/2026 10:00,"Alerta detectada: Panel solar bajo en horario diurno: 0.00 V.

Accion recomendada con prudencia: Revisar orientacion, suciedad, sombra o posible desconexion del panel.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",media,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
Revisar humedad baja en sensor del 29/04/2026 10:00,"Alerta detectada: Al menos un sensor registra humedad muy baja: 1.31%.

Accion recomendada con prudencia: Comprobar el sensor afectado y comparar con el resto de profundidades antes de tomar decisiones.

Antes de ejecutar una actuacion en campo, contrastar con lecturas cercanas, estado del sensor y criterio tecnico.",alta,pendiente,,,,2026-05-05T15:41:50.852025+00:00,2026-05-05T15:41:50.852025+00:00
